timestamp,open,high,low,close,volume
2022-10-28 00:00:00+00:00,1.04,1.788,1.04,1.646,29721902.27
2022-10-29 00:00:00+00:00,1.649,1.769,1.487,1.524,15181047.54
2022-10-30 00:00:00+00:00,1.523,1.557,1.492,1.529,2520061.2
2022-10-31 00:00:00+00:00,1.53,1.703,1.511,1.589,3670339.39
2022-11-01 00:00:00+00:00,1.586,1.628,1.535,1.549,1781124.68
2022-11-02 00:00:00+00:00,1.55,1.559,1.433,1.482,1129824.2
2022-11-03 00:00:00+00:00,1.479,1.55,1.474,1.516,891771.1
2022-11-04 00:00:00+00:00,1.511,1.65,1.508,1.633,1406709.6
2022-11-05 00:00:00+00:00,1.63,1.7,1.605,1.639,1119792.59
2022-11-06 00:00:00+00:00,1.633,1.642,1.538,1.55,623779.64
2022-11-07 00:00:00+00:00,1.548,1.618,1.502,1.542,1111923.94
2022-11-08 00:00:00+00:00,1.542,1.553,1.242,1.355,1874694.52
2022-11-09 00:00:00+00:00,1.348,1.365,1.044,1.096,1783715.31
2022-11-10 00:00:00+00:00,1.095,1.339,1.083,1.287,835570.79
2022-11-11 00:00:00+00:00,1.287,1.302,1.196,1.24,497149.19
2022-11-12 00:00:00+00:00,1.239,1.3,1.176,1.187,243960.77
2022-11-13 00:00:00+00:00,1.19,1.216,1.116,1.124,420095.23
2022-11-14 00:00:00+00:00,1.121,1.208,1.075,1.144,524856.07
2022-11-15 00:00:00+00:00,1.147,1.204,1.139,1.173,392750.67
2022-11-16 00:00:00+00:00,1.172,1.192,1.119,1.136,320093.1
2022-11-17 00:00:00+00:00,1.136,1.147,1.1,1.105,229748.47
2022-11-18 00:00:00+00:00,1.105,1.164,1.104,1.121,796155.32
2022-11-19 00:00:00+00:00,1.121,1.131,1.097,1.121,380156.82
2022-11-20 00:00:00+00:00,1.119,1.136,1.05,1.058,463955.17
2022-11-21 00:00:00+00:00,1.053,1.058,1.0,1.017,527426.32
2022-11-22 00:00:00+00:00,1.017,1.041,0.992,1.03,1449326.25
2022-11-23 00:00:00+00:00,1.03,1.087,1.012,1.025,1142713.1
2022-11-24 00:00:00+00:00,1.027,1.04,1.009,1.03,739700.22
2022-11-25 00:00:00+00:00,1.031,1.032,0.997,1.017,319531.7
2022-11-26 00:00:00+00:00,1.014,1.05,1.014,1.03,615186.47
2022-11-27 00:00:00+00:00,1.03,1.082,1.004,1.01,929344.11
2022-11-28 00:00:00+00:00,1.01,1.013,0.964,0.98,605377.86
2022-11-29 00:00:00+00:00,0.978,1.01,0.976,1.001,529280.53
2022-11-30 00:00:00+00:00,1.0,1.032,0.995,1.019,342381.09
2022-12-01 00:00:00+00:00,1.019,1.02,0.982,0.991,393360.82
2022-12-02 00:00:00+00:00,0.991,1.009,0.978,1.004,452691.83
2022-12-03 00:00:00+00:00,1.006,1.009,0.978,0.978,495605.09
2022-12-04 00:00:00+00:00,0.98,1.05,0.971,0.99,696264.47
2022-12-05 00:00:00+00:00,0.99,1.01,0.969,0.98,406557.54
2022-12-06 00:00:00+00:00,0.981,0.986,0.946,0.952,661572.11
2022-12-07 00:00:00+00:00,0.953,0.953,0.89,0.907,593606.25
2022-12-08 00:00:00+00:00,0.907,0.921,0.89,0.915,778811.88
2022-12-09 00:00:00+00:00,0.915,0.925,0.894,0.901,341808.87
2022-12-10 00:00:00+00:00,0.901,12.5,0.882,1.041,27169268.8
2022-12-11 00:00:00+00:00,1.043,1.052,0.927,0.936,8165661.34
2022-12-12 00:00:00+00:00,0.936,0.943,0.891,0.933,3418838.54
2022-12-13 00:00:00+00:00,0.934,0.947,0.894,0.919,2278492.97
2022-12-14 00:00:00+00:00,0.918,0.921,0.883,0.89,1559536.65
2022-12-15 00:00:00+00:00,0.89,0.891,0.853,0.864,944000.02
2022-12-16 00:00:00+00:00,0.864,0.873,0.746,0.759,2542427.74
2022-12-17 00:00:00+00:00,0.758,0.787,0.754,0.78,1129347.98
2022-12-18 00:00:00+00:00,0.779,0.784,0.761,0.767,1146990.9
2022-12-19 00:00:00+00:00,0.769,0.772,0.735,0.741,1482185.25
2022-12-20 00:00:00+00:00,0.741,0.763,0.727,0.74,1567311.15
2022-12-21 00:00:00+00:00,0.74,0.745,0.709,0.715,909748.12
2022-12-22 00:00:00+00:00,0.716,0.729,0.702,0.727,955975.21
2022-12-23 00:00:00+00:00,0.727,0.75,0.722,0.738,1123138.59
2022-12-24 00:00:00+00:00,0.739,0.918,0.738,0.745,5484685.52
2022-12-25 00:00:00+00:00,0.744,0.753,0.732,0.739,1151445.35
2022-12-26 00:00:00+00:00,0.739,0.75,0.738,0.748,750191.02
2022-12-27 00:00:00+00:00,0.748,0.761,0.732,0.737,1062314.9
2022-12-28 00:00:00+00:00,0.739,0.739,0.702,0.705,926506.44
